Modelo,Acurácia,Precisão,Recall,F1-Score,AUC-ROC
Regressão Logística,0.661,0.3634232121922626,0.6966292134831461,0.4776579352850539,0.7405527656345965
Árvore de Decisão,0.667,0.3737142857142857,0.7348314606741573,0.4954545454545455,0.728438888688175
Random Forest,0.7875,0.6388888888888888,0.10337078651685393,0.17794970986460348,0.7134231728024856
XGBoost,0.747,0.41456582633053224,0.3325842696629214,0.3690773067331671,0.6952751183207485
Logistic (Otimizado),0.6635,0.36713286713286714,0.7078651685393258,0.4834996162701458,0.7409574045305104
Random Forest (Otimizado),0.6915,0.38713910761154857,0.6629213483146067,0.4888152444076222,0.7389399906065971
XGBoost (Otimizado),0.636,0.3539731682146543,0.7707865168539326,0.48514851485148514,0.7492799595361104
XGBoost + Features Avançadas,0.6405,0.35669456066945604,0.7662921348314606,0.48679514632405424,0.7435803316593808
Stacking Ensemble,0.79,0.676056338028169,0.10786516853932585,0.18604651162790697,0.7525835470934643
